date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:46%20GMT	http://playdoge.io/assets/images/svg-icons/logo-icon.svg	C:/game/playdoge.io/assets/images/svg-icons/logo-icon.svg	(from https://playdoge.io/en)
05:40:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:47%20GMT	http://playdoge.io/assets/images/svg-icons/widget-title.svg	C:/game/playdoge.io/assets/images/svg-icons/widget-title.svg	(from https://playdoge.io/en)
05:40:46	73249/73249	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2287e3b5f0447c5d437cfca873f19b6f25%22	https://playdoge.io/assets/images/svg-icons/logo-icon.svg	C:/game/playdoge.io/assets/images/svg-icons/logo-icon.svg	(from https://playdoge.io/en)
05:40:46	616/616	---M--	200	added ('OK')	image/svg+xml	etag:%22fb7b90a40801af7ce001bf4d08ffe036%22	https://playdoge.io/assets/images/svg-icons/widget-title.svg	C:/game/playdoge.io/assets/images/svg-icons/widget-title.svg	(from https://playdoge.io/en)
05:40:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:47%20GMT	http://playdoge.io/assets/images/svg-icons/info-icon.svg	C:/game/playdoge.io/assets/images/svg-icons/info-icon.svg	(from https://playdoge.io/en)
05:40:47	453/453	---M--	200	added ('OK')	image/svg+xml	etag:%229de07820f707ae7276543aeb9c53063d%22	https://playdoge.io/assets/images/svg-icons/info-icon.svg	C:/game/playdoge.io/assets/images/svg-icons/info-icon.svg	(from https://playdoge.io/en)
05:40:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:47%20GMT	http://playdoge.io/assets/images/svg-icons/ETH.svg	C:/game/playdoge.io/assets/images/svg-icons/ETH.svg	(from https://playdoge.io/en)
05:40:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:49%20GMT	http://playdoge.io/assets/images/svg-icons/usdt.svg	C:/game/playdoge.io/assets/images/svg-icons/usdt.svg	(from https://playdoge.io/en)
05:40:48	1588/1588	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2277abcae9ae09e43141d6b6f30ceca975%22	https://playdoge.io/assets/images/svg-icons/ETH.svg	C:/game/playdoge.io/assets/images/svg-icons/ETH.svg	(from https://playdoge.io/en)
05:40:48	1062/1062	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222608964b1a4cec11feba59516606d575%22	https://playdoge.io/assets/images/svg-icons/usdt.svg	C:/game/playdoge.io/assets/images/svg-icons/usdt.svg	(from https://playdoge.io/en)
